"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-01","2017","01","01","","2.3","","-5.4","","-1.6","","19.6","","0.0","","","M","","M","0.0","","1","","26","","52",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-02","2017","01","02","","5.2","","-6.7","","-0.8","","18.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-03","2017","01","03","","2.7","","0.6","","1.7","","16.3","","0.0","","","M","","M","18.6","","1","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-04","2017","01","04","","3.9","","-6.5","","-1.3","","19.3","","0.0","","","M","","M","1.2","","1","","24","","76",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-05","2017","01","05","","-2.9","","-9.4","","-6.2","","24.2","","0.0","","","M","","M","0.0","","1","","25","","63",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-06","2017","01","06","","-4.8","","-11.9","","-8.4","","26.4","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-07","2017","01","07","","-7.1","","-15.1","","-11.1","","29.1","","0.0","","","M","","M","1.0","","1","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-08","2017","01","08","","-10.2","","-17.0","","-13.6","","31.6","","0.0","","","M","","M","0.0","","3","","31","","35",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-09","2017","01","09","","-1.7","","-20.2","","-11.0","","29.0","","0.0","","","M","","M","0.2","","2","","18","","54",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-10","2017","01","10","","2.0","","-3.9","","-1.0","","19.0","","0.0","","","M","","M","11.2","","2","","18","","72",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-11","2017","01","11","","6.0","","1.6","","3.8","","14.2","","0.0","","","M","","M","1.3","","1","","20","","82",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-12","2017","01","12","","7.2","","-0.7","","3.3","","14.7","","0.0","","","M","","M","13.8","","2","","25","","46",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-13","2017","01","13","","-0.1","","-13.0","","-6.6","","24.6","","0.0","","","M","","M","0.0","","2","","29","","52",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-14","2017","01","14","","-3.7","","-14.5","","-9.1","","27.1","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-15","2017","01","15","","-1.6","","-9.6","","-5.6","","23.6","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-16","2017","01","16","","2.4","","-10.0","","-3.8","","21.8","","0.0","","","M","","M","0.0","","1","","21","","35",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-17","2017","01","17","","1.2","","-7.1","","-3.0","","21.0","","0.0","","","M","","M","6.7","","2","","7","","37",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-18","2017","01","18","","1.7","","-0.6","","0.6","","17.4","","0.0","","","M","","M","1.4","","2","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-19","2017","01","19","","3.8","","0.6","","2.2","","15.8","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-20","2017","01","20","","3.2","","0.9","","2.1","","15.9","","0.0","","","M","","M","0.0","","2","","14","","32",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-21","2017","01","21","","4.1","","2.0","","3.1","","14.9","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-22","2017","01","22","","4.5","","0.6","","2.6","","15.4","","0.0","","","M","","M","0.0","","2","","5","","48",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-23","2017","01","23","","1.6","","-1.6","","0.0","","18.0","","0.0","","","M","","M","0.2","","1","","4","","41",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-24","2017","01","24","","-1.6","","-4.1","","-2.9","","20.9","","0.0","","","M","","M","6.1","","2","","2","","32",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-25","2017","01","25","","2.0","","-4.8","","-1.4","","19.4","","0.0","","","M","","M","5.7","","7","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-26","2017","01","26","","2.1","","0.6","","1.4","","16.6","","0.0","","","M","","M","2.0","","4","","27","","44",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-27","2017","01","27","","2.0","","-1.1","","0.5","","17.5","","0.0","","","M","","M","0.7","","3","","26","","52",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-28","2017","01","28","","0.5","","-1.3","","-0.4","","18.4","","0.0","","","M","","M","0.8","","4","","24","","41",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-29","2017","01","29","","-0.2","","-12.4","","-6.3","","24.3","","0.0","","","M","","M","0.2","","5","","24","","41",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-30","2017","01","30","","-8.1","","-15.6","","-11.9","","29.9","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-01-31","2017","01","31","","-3.5","","-14.9","","-9.2","","27.2","","0.0","","","M","","M","0.8","","3","","6","","32",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-02-01","2017","02","01","","0.9","","-8.6","","-3.9","","21.9","","0.0","","","M","","M","1.7","","8","","24","","33",""
"-76.60","44.22","KINGSTON CLIMATE","6104142","2017-02-02","2017","02","02","","-2.2","","-10.0","","-6.1","","24.1","","0.0","","","M","","M","0.0","","7","","25","","48",""
