date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2020-06-02,18.6,11.2,9.9,1.2,,,84,56.4,57,30,4.9,2,2,-1,35,16.12,19.5,4,34,24,101.8,101.31,101.25,100.7,100.88,100.39,100.36,99.83,48300,41241.7,36200,24100,,,,,8.1,0,4.9,2.9,0,0,,,,04:54:00,20:32:00,15.63,4.9,20.53,8,8,18,18,10,10,,,,,,8,4.3,4,0,,,,
2020-06-01,13.7,7.07,6.69,-0.3,,-1,93,70.5,69,45,6.6,1.6,2.4,-1.8,21,9.79,11.5,2,35,23,102.1,101.89,101.9,101.7,101.18,100.95,100.97,100.76,48300,40233.3,36200,24100,,,,,11.3,0,1.7,0,0,0,,,,04:54:00,20:31:00,15.62,4.9,20.52,7,7,16,16,1,1,,,,,,8,4.8,4,0,,,,
2020-05-31,8.6,6.5,4.75,0.9,,,91,63.3,67.5,44,6.2,-0.3,1.2,-3.8,23,12.29,14,5,38,30,102,101.64,101.45,100.9,101.02,100.72,100.52,100.03,48300,40233.3,36200,24100,,,,,13.2,0,0,0,0,0,,,,04:55:00,20:30:00,15.58,4.92,20.5,7,7,11,11,1,1,,,,,,8,6.7,4.5,1,,,,
2020-05-30,20.6,17.2,13.95,7.3,27,,91,67.3,67,43,18.6,10.8,12.3,6.1,31,16.58,16,1,39,26,100.9,100.6,100.5,100.1,99.99,99.7,99.61,99.23,48300,36270.8,30600,12900,,,,,4,0,8.9,7,4,6.9,,,,04:56:00,20:29:00,15.55,4.93,20.48,6,7,20,20,7,7,,,,,,8,7.1,7,6,,,,
2020-05-29,31.8,25.09,25.85,19.9,36,,91,67.6,65,39,19.8,18.1,17.4,15,37,22.08,19.5,2,50,27,101,100.66,100.65,100.3,100.13,99.78,99.76,99.39,48300,38212.5,32200,16100,,,,,0,7.8,20.9,18.9,15.8,0.4,,,,04:56:00,20:29:00,15.55,4.93,20.48,7,7,29,31,17,17,,,,,,8,6.5,5.5,3,,,,
2020-05-28,31.9,23.78,23.35,14.8,38,,93,66.7,66.5,40,18.8,16.5,16.6,14.3,33,13.88,16.5,0,36,24,101.7,101.47,101.4,101.1,100.81,100.58,100.51,100.22,48300,37208.3,36200,24100,,,,,0,5.3,18.4,16.4,13.3,0,,,,04:57:00,20:28:00,15.52,4.95,20.47,9,9,33,33,20,20,,,,,,8,4.9,4,0,,,,
2020-05-27,33,22.97,24.3,15.6,40,,97,72.2,68.5,40,21.4,17.2,17.8,14.2,21,9.21,10.5,0,31,27,102.1,101.82,101.8,101.5,101.15,100.91,100.89,100.64,24100,19700,18500,12900,,,,,0,6.3,19.3,17.3,14.3,0,,,,04:58:00,20:26:00,15.47,4.97,20.43,9,9,32,32,17,17,,,,,,7,3.7,4,1,,,,
2020-05-26,30.4,22.23,21.75,13.1,35,,98,72.7,73,48,19.6,16.7,16.3,13,19,8.58,10,1,29,25,102.1,101.88,101.89,101.69,101.16,100.98,100.99,100.81,40200,31158.3,32150,24100,,,,,0,3.8,16.8,14.8,11.8,2.8,,,,04:59:00,20:25:00,15.43,4.98,20.42,9,9,31,31,15,15,,,,,,8,6.1,4.5,1,,,,
2020-05-25,25,18.33,17.55,10.1,26,,72,53.5,54,36,13.8,8.4,9.2,4.7,18,8.62,10,2,28,27,102.1,101.91,101.9,101.7,101.19,101,101.01,100.82,40200,34500,32150,24100,,,,,0.4,0,12.6,10.6,7.5,0,,,,04:59:00,20:24:00,15.42,4.98,20.4,7,7,24,24,14,14,,,,,,8,6.1,4.5,1,,,,
2020-05-24,25.1,15.01,14.2,3.3,,,69,43.2,46.5,24,7.6,2,0.2,-7.3,14,6.79,7.5,1,,,102.6,102.28,102.25,101.9,101.65,101.35,101.34,101.03,48300,40229.2,36200,24100,,,,,3.8,0,9.2,7.2,4.2,0,,,,05:00:00,20:23:00,15.38,5,20.38,9,9,25,25,9,9,,,,,,8,3.2,4,0,,,,
